,Symbol,Company Name,Industry,Sector,Founded
0,AAPL,Apple,Consumer Electronics,Technology,1977
1,MSFT,Microsoft,Software - Infrastructure,Technology,1975
2,V,Visa Inc.,Credit Services,Financials,1958
3,UNH,UnitedHealth Group,Healthcare Plans,Healthcare,1977
4,WMT,Walmart,Discount Stores,Consumer Staples,1945
5,JPM,JPMorgan Chase & Co.,Banks - Diversified,Financials,1799
6,JNJ,Johnson & Johnson,Drug Manufacturers - General,Healthcare,1886
7,PG,The Procter & Gamble Company,Household & Personal Products,Consumer Staples,1837
8,CVX,Chevron,Oil & Gas Integrated,Energy,1879
9,HD,The Home Depot,Home Improvement Retail,Consumer Discretionary,1978
10,MRK,Merck & Co.,Drug Manufacturers - General,Healthcare,2000
11,KO,The Coca-Cola Company,Beverages - Non-Alcoholic,Consumer Staples,1886
12,CSCO,Cisco Systems,Communication Equipment,Technology,1984
13,CRM,Salesforce,Software - Application,Technology,1999
14,MCD,McDonald's,Restaurants,Consumer Discretionary,1940
15,DIS,The Walt Disney Company,Entertainment,Communication Services,1923
16,INTC,Intel,Semiconductors,Technology,1968
17,AMGN,Amgen,Drug Manufacturers - General,Healthcare,1980
18,NKE,"NIKE, Inc.",Footwear & Accessories,Consumer Discretionary,1964
19,CAT,Caterpillar,Farm & Heavy Construction Machinery,Industrials,1925
20,VZ,Verizon Communications,Telecom Services,Communication Services,1983
21,IBM,International Business Machines,Information Technology Services,Technology,1911
22,HON,Honeywell International,Conglomerates,Industrials,-
23,BA,The Boeing Company,Aerospace & Defense,Industrials,1916
24,AXP,American Express Company,Credit Services,Financials,1850
25,GS,The Goldman Sachs Group,Capital Markets,Financials,1869
26,MMM,3M Company,Conglomerates,Industrials,1902
27,TRV,The Travelers Companies,Insurance - Property & Casualty,Financials,1853
28,DOW,Dow Inc.,Chemicals,Materials,-
29,WBA,Walgreens Boots Alliance,Pharmaceutical Retailers,Healthcare,1901
